分类,研报标题,摘要,作者,评级,页数,日期,分享者,来源页,抓取时间,类型,分享时间
投研资讯,华鑫证券-伊之密-300415-公司动态研究报告：技术双引擎驱动装备升级，全球化战略稳步推进-250628,"▌高端注塑机技术进阶，技术创新卡位智能化转型
　　下游新能源汽车、电子、家电及医疗领域需求扩张驱动行业稳步增长，中国塑料机械出口额占全球份额近20%，本土企业加速技术追赶，推动...",尤少炜,买入（首次）,5,2025-06-28,stan******ong,1,2025-06-29 01:10:11,,
投研资讯,天风证券-中粮科技-000930-国内玉米深加工龙头，红利价值随业绩改善凸显-250628,"1.中粮科技：国内玉米深加工龙头，红利价值随业绩改善凸显
　　公司实控人为国资委100%控股的中粮集团，现已形成覆盖食品及食品原料、生物能源和生物可降解材料等产品的玉米加工全产...",吴立，戴飞,买入（首次）,17,2025-06-28,国**券,1,2025-06-29 01:10:11,,
投研资讯,民生证券-芯原股份-688521-事件点评：ASIC龙头定增落地，产业资本踊跃认购-250628,事件：2025年6月，芯原股份完成向特定对象发行A股股票的定增，最终发行价为72.68元/股，相较于定价基准日前20个交易日均价（86.11元/股）折价约15.6%。本次发行共...,方竞，宋晓东,推荐,3,2025-06-28,li***u,1,2025-06-29 01:10:11,,
投研资讯,开源证券-球冠电缆-920682-北交所信息更新：持续中标国家电网项目、1项国标获准发布，2024电力电缆营收+22%-250627,"2024实现营收35.85亿元+20.19%，维持“增持”评级
　　2024全年球冠电缆实现营收35.85亿元同比增长20.19%，归母净利润13,291.64万元同比增长8...",诸海滨,增持,4,2025-06-28,ra***c,1,2025-06-29 01:10:11,,
投研资讯,财通证券-影石创新-688775-AI驱动创新引领，智能影像龙头扬帆起航-250627,"核心观点
　　智能影像设备领军者，创新驱动成长：公司2015年成立于深圳，以全景技术为基点专注于运动相机、全景相机等智能影像设备研发、生产、销售，公司产品不断推陈出新，2019...",张益敏,增持（首次）,32,2025-06-28,z**t,1,2025-06-29 01:10:11,,
投研资讯,开源证券-同力股份-834599-北交所公司深度报告：新能源与无人驾驶技术赋能高毛利新品，矿卡龙头打开增长空间-250624,"2025Q1公司营收15.36亿元（+28.34%），归母净利润1.87亿元（+58.45%）
　　2025年一季度公司实现营收15.36亿元，同比增长28.34%；归母净利润...",诸海滨,买入,20,2025-06-27,195****29,1,2025-06-29 01:10:11,,
投研资讯,华鑫证券-德马科技-688360-公司事件点评报告：智能物流装备领先企业，机器人业务布局不断完善-250627,"事件
　　公司近期公告：1）公司与美客多集团之下属子公司签订销售合同，向其提供智能物流交叉带分拣系统及相关服务，合同金额合计4338.88万美元；2）与上海智元新创技术有限公司...",任春阳，吕卓阳,买入（首次）,5,2025-06-27,am***e,1,2025-06-29 01:10:11,,
投研资讯,华鑫证券-美利信-301307-公司动态研究报告：业绩短期承压，多轮驱动中长期成长-250627,"▌下游多点开花，铝合金精密压铸件需求不减
　　铝合金精密压铸件制造行业产业链跨度长、覆盖面广，下游行业包括通信、储能、汽车、散热等众多应用领域。其中随着5G网络覆盖扩大，预计到...",任春阳,买入（首次）,5,2025-06-27,wj0****01,1,2025-06-29 01:10:11,,
投研资讯,光大证券-美好医疗-301363-更新点评：业绩有望逐步改善，期待新业务拓展潜力-250627,家用呼吸机组件下游客户去库存影响结束，期待25Q2及下半年业绩逐步改善。公司目前的基石业务是家用呼吸机和人工植入耳蜗组件的开发制造和销售。24年公司家用呼吸机组件业务订单回归正...,王明瑞，吴佳青,买入,3,2025-06-27,min****xu,1,2025-06-29 01:10:11,,
投研资讯,开源证券-影石创新-688775-公司首次覆盖报告：全景智能影像设备龙头，技术护航+产品创新驱动成长-250627,"全景智能影像设备龙头，产品持续迭代升级未来可期，维持“买入”评级
　　公司为全球智能影像设备龙头，2015年成立于深圳，通过自研全景技术、防抖技术、AI影像处理技术，主要发力于...",吕明，骆扬,买入（首次）,33,2025-06-27,qin****eo,1,2025-06-29 01:10:11,,
